Expression,Lemmatized_Form,Type,Confidence,Length,Source_URL
"Anreicherung","anreicherung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"wie auch","wi auch","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Herausgabe","herausgabe","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Sprachgrenze","sprachgrenze","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Bairisch","bairisch","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Ähnliches","ähnliches","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"eine Varietät","eine varietät","COLLOCATION",0,591,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"über eine","über eine","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Dienste","dienste","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Eigentum","eigentum","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"auf direkten","auf direkten","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Riograndenser","riograndenser","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"findet man","findet man","COLLOCATION",0,881,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Empfangsantenne","empfangsantenne","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Thüringisch -Obersächsisch","thüringisch -obersächsisch","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Geleend","geleend","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Sprache aus","sprach aus","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"ESA Organisation","esa organisation","NAMED_ENTITY",0,850,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Reiches","reiches","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"und östlich","und östlich","COLLOCATION",0,526,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"suchen ist","such ist","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"aus go","aus go","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Behaghel","behaghel","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Menschenrechte","menschenrechte","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"überarbeitete und","überarbeitet und","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Normierung zurück","normierung zurück","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"werden können","werden können","COLLOCATION",0,794,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Pomerode","pomerode","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"vom Spätmittelalter","vom spätmittelalter","COLLOCATION",0,814,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"in Lothringen","in lothringen","COLLOCATION",0,540,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Mittellands und","mittellands und","COLLOCATION",0,558,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Bevölkerungsgruppe des","bevölkerungsgruppe des","COLLOCATION",0,636,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Schriftwerke","schriftwerke","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
") Ostfälisch",") ostfälisch","COLLOCATION",0,560,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"wie z","wi z","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Alexander Graf","alexander graf","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"wie beispielsweise","wi beispielsweise","COLLOCATION",0,698,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"sind gesetzlich","sind gesetzlich","COLLOCATION",0,759,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Kandidat","kandidat","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"fast ausschliesslich","fast ausschliesslich","COLLOCATION",0,998,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Wolfgang Pfeifer","wolfgang pfeifer","NAMED_ENTITY",0,850,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Gressoney","gressoney","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"heidnisch '","heidnisch '","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Teil vollzogen","teil vollzogen","COLLOCATION",0,802,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"gleichzeitig mit","gleichzeitig mit","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"das Schweizer","das schweizer","COLLOCATION",0,623,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Assimilation","assimilation","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"kaum vorhanden","kaum vorhanden","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"der Bevölkerung der","der bevölkerung der","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Nach den","nach den","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"nach dem","nach dem","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"ihrer gesamtstaatlichen","ihr gesamtstaatlichen","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Sprachen","sprachen","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"de Basketball","de basketball","COLLOCATION",0,845,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Verkehrs -","verkehrs -","COLLOCATION",0,712,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Singular und","singular und","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Höchstalemannisch (","höchstalemannisch (","COLLOCATION",0,559,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"manchmal gemischt","manchmal gemischt","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"nach des","nach des","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"den Jahren","den jahren","COLLOCATION",0,582,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Luxemburg","luxemburg","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"und schreiben","und schreiben","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Mittelalter","mittelalter","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"wurden die","wurd die","COLLOCATION",0,561,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"deutscher Sprachraum","deutscher sprachraum","COLLOCATION",0,746,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Europeans and","europeans and","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Assimilationsdruck","assimilationsdruck","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"lateinische als","lateinisch als","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Luftfahrt","luftfahrt","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Übergang zu","übergang zu","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Hochdeutsch 30,6","hochdeutsch 30,6","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Herkunft sind","herkunft sind","COLLOCATION",0,685,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Ländern nicht","ländern nicht","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Umgangssprache","umgangssprache","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"darüber hinaus","darüber hinaus","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Seitdem","seitdem","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Instituto de","instituto de","COLLOCATION",0,845,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"über sehr","über sehr","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"anderen Sprachen","anderen sprachen","COLLOCATION",0,617,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Memento vom","memento vom","COLLOCATION",0,840,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"erlernt haben","erlernt haben","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Alemannisch im","alemannisch im","COLLOCATION",0,529,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"bis zur","bis zur","COLLOCATION",0,608,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"und gesamten","und gesamten","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"die zweite","die zweit","COLLOCATION",0,529,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Sprache aber","sprach aber","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"aber nicht","aber nicht","COLLOCATION",0,503,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"die zu","die zu","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Volksbezeichnung","volksbezeichnung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Sprechern","sprechern","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"mehrere Standardvarietäten","mehrere standardvarietäten","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Juni 2014","juni 2014","COLLOCATION",0,857,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Variante des","variante des","COLLOCATION",0,695,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"zu Rechtschreibung","zu rechtschreibung","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Mitte des","mitte des","COLLOCATION",0,695,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Beitrag auf","beitrag auf","COLLOCATION",0,777,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"südlichste Teil","südlichste teil","COLLOCATION",0,902,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"rund 7,5","rund 7,5","COLLOCATION",0,895,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Situation","situation","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Schlager","schlager","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Während","während","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Languages","languages","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"( Mischform","( mischform","COLLOCATION",0,527,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Anschrift","anschrift","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Telephon","telephon","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"erlernen sie","erlernen sie","COLLOCATION",0,859,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"gesamtstaatlicher Ebene","gesamtstaatlicher ebene","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Religion","religion","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"mitteldeutschenmittelfränkischen und","mitteldeutschenmittelfränkisch und","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"als nationale","als nationale","COLLOCATION",0,709,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Kamerun leichter","kamerun leichter","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Tageszeitung Luxemburger Wort","tageszeitung luxemburger wort","NAMED_ENTITY",0,850,3,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Aussprache","aussprache","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"zu hatten","zu hatten","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"– FIL","– fil","COLLOCATION",0,771,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Internationale Biathlon","internationale biathlon","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"– FIG","– fig","COLLOCATION",0,771,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"im Laufe","im laufe","COLLOCATION",0,671,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Juli 2025","juli 2025","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Verbreitung","verbreitung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"und Wahrscheinlichkeit","und wahrscheinlichkeit","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Rechtsbücher","rechtsbücher","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Rio Grande","rio grande","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Arbeitssprache","arbeitssprache","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"deutschsprachigen Ländern","deutschsprachigen ländern","COLLOCATION",0,798,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"– FIS","– fis","COLLOCATION",0,771,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"und noch","und noch","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"hinaus ist","hinaus ist","COLLOCATION",0,545,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Urkunde","urkunde","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"nach und","nach und","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Grobeinteilung","grobeinteilung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"der späteren","der späteren","COLLOCATION",0,531,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Benrather Linie","benrather linie","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Medizinsprache verwendet","medizinsprach verwendet","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"ein Teil","ein teil","COLLOCATION",0,525,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"den oberrheinischen und","den oberrheinisch und","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Patentorganisation","patentorganisation","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"… ]","… ]","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Universität Zürich","universität zürich","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"April 2015","april 2015","COLLOCATION",0,873,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Niedersächsisch im","niedersächsisch im","COLLOCATION",0,671,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Begriffen wie","begriffen wie","COLLOCATION",0,950,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Webseite in","webseite in","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"April 2014","april 2014","COLLOCATION",0,761,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Missingsch","missingsch","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"ins Deutsche","ins deutsche","COLLOCATION",0,586,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"FIG Fédération","fig fédération","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Jahrhundert ausgestorben","jahrhundert ausgestorben","COLLOCATION",0,872,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"dem Jahr","dem jahr","COLLOCATION",0,647,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"de línguas","de línguas","COLLOCATION",0,845,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"sondern sind","sondern sind","COLLOCATION",0,718,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"nicht an","nicht an","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Zeitalter des","zeitalt des","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Bayerisches","bayerisches","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Konrad Duden","konrad duden","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"der österreichischen","der österreichischen","COLLOCATION",0,531,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"April 2024","april 2024","COLLOCATION",0,828,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Wechsel","wechsel","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"nach dieser","nach dieser","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"bis zum","bis zum","COLLOCATION",0,507,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Status als","status als","COLLOCATION",0,521,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Sprachgebiets","sprachgebiets","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Mecklenburgisch -Vorpommersch","mecklenburgisch -vorpommersch","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Versuch einer","versuch einer","COLLOCATION",0,829,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Studie aus","studie aus","COLLOCATION",0,664,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Landesteilen","landesteilen","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Wortformen","wortformen","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Rotwelsch","rotwelsch","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Online -Version","online -version","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Garderobe","garderobe","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"germanischen Sprachen","germanischen sprachen","COLLOCATION",0,749,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"20 %","20 %","COLLOCATION",0,508,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Schweiz","schweiz","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"europäischen Bürger","europäischen bürger","COLLOCATION",0,991,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"auf gedruckten","auf gedruckten","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"1,5 Millionen","1,5 millionen","COLLOCATION",0,831,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"geben über","geben über","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Düdelingen","düdelingen","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Volksname","volksname","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Bereich der","bereich der","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Bereich des","bereich des","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"und schliesst","und schliesst","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Desenvolvimento em","desenvolvimento em","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Schlesien","schlesien","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"im Ausland","im ausland","COLLOCATION",0,671,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Zweitsprachlern","zweitsprachlern","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"FIBA Fédération Internationale","fiba fédération internationale","NAMED_ENTITY",0,850,3,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Abänderung","abänderung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Seemannssprache","seemannssprache","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Schreibweise","schreibweise","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Wortarten","wortarten","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"auch ein","auch ein","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Angebote","angebote","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"des Elsässischen","des elsässischen","COLLOCATION",0,578,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"erscheint neben","erscheint neben","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"es bereits","es bereits","COLLOCATION",0,728,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"zu betrachten","zu betrachten","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Innerhalb","innerhalb","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"Sinnherkunft vieler","sinnherkunft vieler","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"um überregionalen","um überregionalen","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
"des Englischen","des englischen","COLLOCATION",0,514,2,"https://de.wikipedia.org/wiki/Deutsche_Sprache"
